location,level,month,species,Hg [Mg],time
Pinatubo,10,1,Hg0,85.02731323242188,38
Pinatubo,10,1,Hg0,84.3924331665039,40
Pinatubo,10,1,Hg0,83.78081512451172,42
Pinatubo,10,1,Hg0,83.15927124023438,44
Pinatubo,10,1,Hg0,82.50070190429688,46
Pinatubo,10,1,Hg0,81.84642791748047,48
Pinatubo,10,1,Hg0,81.20392608642578,50
Pinatubo,10,1,Hg0,80.55563354492188,52
Pinatubo,10,1,Hg0,79.86811828613281,54
Pinatubo,10,1,Hg0,79.1816635131836,56
Pinatubo,10,1,Hg0,78.52500915527344,58
Pinatubo,10,1,Hg0,77.9212875366211,60
Pinatubo,10,1,Hg0,77.30436706542969,62
Pinatubo,10,1,Hg0,76.6955337524414,64
Pinatubo,10,1,Hg0,76.11360931396484,66
Pinatubo,10,1,Hg0,75.5231704711914,68
Pinatubo,10,1,Hg0,74.92129516601562,70
Pinatubo,10,1,Hg0,74.30801391601562,72
Pinatubo,10,1,Hg0,73.7134017944336,74
Pinatubo,10,1,Hg0,73.13684844970703,76
Pinatubo,10,1,Hg0,72.55670166015625,78
Pinatubo,10,1,Hg0,71.96622467041016,80
Pinatubo,10,1,Hg0,71.39112091064453,82
Pinatubo,10,1,Hg0,70.80857849121094,84
Pinatubo,10,1,Hg0,70.21675109863281,86
Pinatubo,10,1,Hg0,69.63348388671875,88
Pinatubo,10,1,Hg0,69.0591049194336,90
Pinatubo,10,1,Hg0,68.49845886230469,92
Pinatubo,10,1,Hg0,67.95597839355469,94
Pinatubo,10,1,Hg0,67.41980743408203,96
Pinatubo,10,1,Hg0,66.88175964355469,98
Pinatubo,10,1,Hg0,66.35204315185547,100
Pinatubo,10,1,Hg0,65.82270050048828,102
Pinatubo,10,1,Hg0,65.28269958496094,104
Pinatubo,10,1,Hg0,64.75971984863281,106
Pinatubo,10,1,Hg0,64.24493408203125,108
Pinatubo,10,1,Hg0,63.72907257080078,110
Pinatubo,10,1,Hg0,63.19493865966797,112
Pinatubo,10,1,Hg0,62.67002487182617,114
Pinatubo,10,1,Hg0,62.16341781616211,116
Pinatubo,10,1,Hg0,61.647850036621094,118
Pinatubo,10,1,Hg0,61.14704132080078,120
Pinatubo,10,1,Hg0,60.666038513183594,122
Pinatubo,10,1,Hg0,60.19343948364258,124
Pinatubo,10,1,Hg0,59.72304916381836,126
Pinatubo,10,1,Hg0,59.253326416015625,128
Pinatubo,10,1,Hg0,58.78032302856445,130
Pinatubo,10,1,Hg0,58.29948425292969,132
Pinatubo,10,1,Hg0,57.837501525878906,134
Pinatubo,10,1,Hg0,57.38948440551758,136
Pinatubo,10,1,Hg0,56.94798278808594,138
Pinatubo,10,1,Hg0,56.509132385253906,140
Pinatubo,10,1,Hg0,56.048126220703125,142
Pinatubo,10,1,Hg0,55.598541259765625,144
